City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vilyuchinsk,52.9306,158.4028,-1.85,72,7,2.37,RU,1712271120
83,invercargill,-46.4,168.35,11.12,86,60,1.79,NZ,1712271043
84,khovd,48.0056,91.6419,1.2,46,17,1.86,MN,1712271150
85,guerrero negro,27.9769,-114.0611,19.32,56,0,8.9,MX,1712271116
86,newman,37.3138,-121.0208,12.25,70,100,4.02,US,1712271099
87,crane,31.3974,-102.3501,28.02,9,0,3.59,US,1712271151
88,la passe,45.5549,-0.8967,17.13,71,100,7.94,FR,1712271151
89,luderitz,-26.6481,15.1594,16.94,81,6,7.36,NA,1712271151
90,vila velha,-20.3297,-40.2925,27.97,84,75,3.09,BR,1712271019
91,college,64.8569,-147.8028,5.18,55,75,0.0,US,1712271097
92,floro,61.5996,5.0328,1.98,48,100,4.12,NO,1712271152
93,male,4.1748,73.5089,26.97,94,100,1.03,MV,1712271152
94,kotel'nikovo,47.6317,43.1461,9.49,74,48,3.8,RU,1712271152
95,grytviken,-54.2811,-36.5092,4.0,75,99,1.83,GS,1712271087
96,lauro de freitas,-12.8944,-38.3272,27.01,83,75,3.09,BR,1712271030
97,bikenibeu village,1.3673,173.1241,28.98,89,75,3.6,KI,1712271153
98,st. john's,47.5649,-52.7093,2.31,97,100,5.66,CA,1712270971
99,ust-tsilma,65.441,52.1498,-14.66,94,99,3.58,RU,1712271153
100,dabat,12.9842,37.765,15.32,28,71,1.55,ET,1712271153
101,dudinka,69.4058,86.1778,-29.66,97,57,1.94,RU,1712271153
102,macapa,0.0389,-51.0664,26.99,94,40,1.54,BR,1712271153
103,margaret river,-33.95,115.0667,16.98,44,25,4.14,AU,1712271092
104,adre,13.4667,22.2,25.83,13,93,1.13,TD,1712271154
105,sept-iles,50.2001,-66.3821,2.29,81,100,3.09,CA,1712271154
106,alice springs,-23.7,133.8833,18.45,43,1,3.6,AU,1712271106
107,mahina,-17.5065,-149.489,28.87,79,75,8.75,PF,1712271148
108,tiksi,71.6872,128.8694,-24.75,99,100,6.82,RU,1712271089
109,pariaman,-0.619,100.12,26.03,88,100,2.38,ID,1712271110
110,kisangani,0.5167,25.2,22.22,94,92,1.35,CD,1712271155
111,port elizabeth,-33.918,25.5701,20.05,89,66,5.81,ZA,1712271155
112,afaahiti,-17.75,-149.2833,27.93,84,87,5.69,PF,1712271109
113,puerto san jose,13.9256,-90.8244,29.3,66,25,2.78,GT,1712271156
